,PID,Mismatched_Hand,Alien_Hand,Matched_Hand
247,91,1.0,-1.0,2.0
248,91,1.0,0.0,2.0
249,92,-1.0,0.0,-1.0
250,92,-1.0,1.0,-1.0
251,92,-2.0,1.0,-1.0
252,93,1.0,2.0,-3.0
253,93,1.0,2.0,-3.0
254,93,1.0,2.0,-3.0
255,94,1.0,2.0,-1.0
256,94,-1.0,3.0,0.0
257,94,-2.0,2.0,1.0
258,95,1.0,2.0,-2.0
259,95,-1.0,2.0,-3.0
260,95,-2.0,2.0,-3.0
261,96,1.0,-2.0,-2.0
262,96,0.0,3.0,2.0
263,96,2.0,-1.0,-2.0
264,97,2.0,-3.0,0.0
265,97,2.0,-3.0,0.0
266,97,3.0,-3.0,0.0
267,98,3.0,3.0,3.0
268,98,3.0,3.0,3.0
269,98,3.0,3.0,3.0
270,99,1.0,1.0,1.0
271,99,1.0,1.0,1.0
272,99,1.0,-1.0,-1.0
273,100,-1.0,0.0,-3.0
274,100,0.0,-3.0,-3.0
275,100,3.0,-3.0,-3.0
276,101,-1.0,2.0,1.0
277,101,1.0,2.0,-3.0
278,101,1.0,0.0,-3.0
279,102,1.0,-3.0,2.0
280,102,0.0,0.0,2.0
281,102,-2.0,-1.0,2.0
282,103,-2.0,3.0,3.0
283,103,1.0,3.0,2.0
284,103,-2.0,3.0,3.0
285,104,3.0,-1.0,2.0
286,104,3.0,-3.0,2.0
287,104,2.0,2.0,3.0
288,105,-1.0,-1.0,1.0
289,105,0.0,0.0,1.0
290,105,-1.0,-1.0,1.0
291,106,3.0,3.0,2.0
292,106,-1.0,2.0,3.0
293,106,3.0,1.0,3.0
294,107,1.0,-2.0,-2.0
295,107,0.0,-2.0,-3.0
296,107,2.0,-2.0,-3.0
297,108,1.0,2.0,0.0
298,108,1.0,0.0,0.0
299,108,1.0,1.0,1.0
300,109,-1.0,-3.0,-1.0
301,109,0.0,-3.0,2.0
302,109,0.0,-2.0,2.0
303,110,3.0,2.0,2.0
304,110,2.0,2.0,3.0
305,110,2.0,3.0,2.0
306,111,1.0,2.0,-2.0
307,111,2.0,3.0,1.0
308,111,3.0,2.0,1.0
309,112,2.0,3.0,3.0
310,112,-3.0,3.0,3.0
311,112,-3.0,3.0,3.0
312,113,-1.0,-2.0,1.0
313,113,-1.0,-2.0,2.0
314,113,-1.0,-3.0,2.0
315,114,2.0,-1.0,1.0
316,114,1.0,-1.0,1.0
317,114,1.0,-1.0,1.0
318,115,-1.0,1.0,3.0
319,115,1.0,1.0,2.0
320,115,-1.0,3.0,0.0
321,116,1.0,2.0,2.0
322,116,1.0,2.0,3.0
323,116,2.0,1.0,3.0
324,117,3.0,3.0,3.0
325,117,3.0,-3.0,3.0
326,117,3.0,0.0,3.0
327,118,0.0,-3.0,-3.0
328,118,1.0,-3.0,-3.0
329,118,1.0,-2.0,-3.0
330,119,2.0,-3.0,-1.0
331,119,3.0,-2.0,1.0
332,119,3.0,-3.0,1.0
333,120,0.0,2.0,-3.0
334,120,-3.0,2.0,-2.0
335,120,-3.0,2.0,-2.0
